"fuel_stations.city","fuel_stations.state","fuel_stations.zip","fuel_stations.plus4","fuel_stations.status_code","fuel_stations.access_code"
"Portland","OR","97214",NA,"E","public"
"Salem","OR","97303",NA,"E","public"
"Beaverton","OR","97006",NA,"E","private"
"Lincoln City","OR","97367",NA,"E","public"
"Albany","OR","97321",NA,"E","public"
"Lincoln City","OR","97367",NA,"E","public"
"Portland","OR","97214",NA,"E","private"
"Eugene","OR","97405",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Portland","OR","97214",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Bend","OR","97701",NA,"E","public"
"Corvallis","OR","97330",NA,"E","public"
"Eugene","OR","97401",NA,"E","public"
"Gladstone","OR","97027",NA,"E","public"
"McMinnville","OR","97128",NA,"E","public"
"Medford","OR","97504",NA,"E","public"
"Portland","OR","97230",NA,"E","public"
"Salem","OR","97302",NA,"E","public"
"The Dalles","OR","97058",NA,"E","public"
"Wilsonville","OR","97070",NA,"E","public"
"Ashland","OR","97520",NA,"E","public"
"Wilsonville","OR","97070",NA,"E","private"
"Beaverton","OR","97005",NA,"E","public"
"Clackamas","OR","97015",NA,"E","public"
"Sherwood","OR","97140",NA,"E","public"
"Sherwood","OR","97140",NA,"E","public"
"Ashland","OR","97520",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Beaverton","OR","97005",NA,"E","private"
"Corvallis","OR","97330",NA,"E","private"
"Eugene","OR","97401",NA,"E","private"
"Gladstone","OR","97027",NA,"E","private"
"McMinnville","OR","97128",NA,"E","private"
"Medford","OR","97504",NA,"E","private"
"Portland","OR","97230",NA,"E","private"
"Salem","OR","97302",NA,"E","private"
"Wilsonville","OR","97070",NA,"E","private"
"Portland","OR","97219",NA,"E","public"
"Portland","OR","97205",NA,"E","public"
"Tigard","OR","97224",NA,"E","public"
"Oregon City","OR","97045",NA,"E","public"
"Bend","OR","97701",NA,"E","private"
"Glide","OR","97443",NA,"E","private"
"Hood River","OR","97031",NA,"E","public"
"Seal Rock","OR","97376",NA,"E","public"
"Portland","OR","97239",NA,"E","public"
"Sherwood","OR","97140",NA,"E","public"
"Coos Bay","OR","97420",NA,"E","public"
"Portland","OR","97204",NA,"E","public"
"Portland","OR","97204",NA,"E","public"
"Bandon","OR","97411",NA,"E","public"
"Bend","OR","97702",NA,"E","public"
"Tigard","OR","97224",NA,"E","public"
"Tigard","OR","97223",NA,"E","public"
"Arlington","OR","97812",NA,"E","public"
"Salem","OR","97302",NA,"E","public"
"Sandy","OR","97055",NA,"E","public"
"Portland","OR","97203",NA,"E","public"
"Gladstone","OR","97027",NA,"E","public"
"Banks","OR","97106",NA,"E","public"
"Central Point","OR","97497",NA,"E","public"
"Roseburg","OR","97470",NA,"E","public"
"Ashland","OR","97520",NA,"E","public"
"Wolf Creek","OR","97497",NA,"E","public"
"Springfield","OR","97477",NA,"E","public"
"Newport","OR","97365",NA,"E","public"
"Oakland","OR","97462",NA,"E","public"
"Canyonville","OR","97417",NA,"E","public"
"Portland","OR","97212",NA,"E","public"
"Wilsonville","OR","97070",NA,"E","public"
"Corvallis","OR","97331",NA,"E","public"
"Milwaukie","OR","97222",NA,"E","public"
"Independence","OR","97351",NA,"E","public"
"Carlton","OR","97111",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Corvallis","OR","97331",NA,"E","public"
"Portland","OR","97222",NA,"E","public"
"Medford","OR","97501",NA,"E","public"
"Grants Pass","OR","97526",NA,"E","public"
"Roseburg","OR","97471",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Albany","OR","97322",NA,"E","public"
"Woodburn","OR","97071",NA,"E","public"
"Halsey","OR","97348",NA,"E","public"
"Cottage Grove","OR","97424",NA,"E","public"
"Grants Pass","OR","97528",NA,"E","public"
"McKenzie Bridge","OR","97413",NA,"E","public"
"Sisters","OR","97759",NA,"E","public"
"Hood River","OR","97031",NA,"E","public"
"Detroit","OR","97342",NA,"E","public"
"Astoria","OR","97103",NA,"E","public"
"Newberg","OR","97132",NA,"E","public"
"Banks","OR","97106",NA,"E","public"
"Florence","OR","97439",NA,"E","public"
"Scappoose","OR","97056",NA,"E","public"
"McMinnville","OR","97128",NA,"E","public"
"Mill City","OR","97360",NA,"E","public"
"Welches","OR","97067",NA,"E","public"
"Lincoln City","OR","97367",NA,"E","public"
"Cascade Locks","OR","97014",NA,"E","public"
"Yachats","OR","97498",NA,"E","public"
"Elkton","OR","97436",NA,"E","public"
"Warm Springs","OR","97761",NA,"E","public"
"Reedsport","OR","97467",NA,"E","public"
"Monmouth","OR","97361",NA,"E","public"
"Grand Ronde","OR","97347",NA,"E","public"
"Veneta","OR","97487",NA,"E","public"
