"zip","city","county","pop"
"97006","Beaverton","Washington","74070"
"97007","Beaverton","Washington","72299"
"97701","Bend","Deschutes","69499"
"97229","Portland","Washington","69450"
"97045","Oregon City","Clackamas","56250"
"97301","Salem","Marion","56196"
"97124","Hillsboro","Washington","55170"
"97206","Portland","Multnomah","52996"
"97402","Eugene","Lane","52310"
"97223","Portland","Washington","50585"
"97702","Bend","Deschutes","50164"
"97123","Hillsboro","Washington","49317"
"97504","Medford","Jackson","47947"
"97501","Medford","Jackson","45993"
"97401","Eugene","Lane","45830"
"97405","Eugene","Lane","45250"
"97080","Gresham","Multnomah","44335"
"97305","Salem","Marion","43917"
"97202","Portland","Multnomah","43371"
"97330","Corvallis","Benton","42956"
"97219","Portland","Multnomah","42528"
"97303","Salem","Marion","41173"
"97236","Portland","Multnomah","40892"
"97233","Portland","Multnomah","40477"
"97478","Springfield","Lane","39939"
"97230","Portland","Multnomah","39776"
"97756","Redmond","Deschutes","38844"
"97302","Salem","Marion","38706"
"97030","Gresham","Multnomah","38358"
"97128","Mcminnville","Yamhill","37993"
"97477","Springfield","Lane","37535"
"97222","Portland","Clackamas","36952"
"97527","Grants Pass","Josephine","36180"
"97526","Grants Pass","Josephine","35920"
"97266","Portland","Multnomah","35727"
"97224","Portland","Washington","35434"
"97211","Portland","Multnomah","35429"
"97203","Portland","Multnomah","34890"
"97217","Portland","Multnomah","34709"
"97404","Eugene","Lane","34616"
"97267","Portland","Clackamas","33636"
"97213","Portland","Multnomah","33011"
"97306","Salem","Marion","32416"
"97304","Salem","Polk","31863"
"97355","Lebanon","Linn","30364"
"97008","Beaverton","Washington","29916"
"97071","Woodburn","Marion","29796"
"97132","Newberg","Yamhill","29732"
"97220","Portland","Multnomah","29629"
"97068","West Linn","Clackamas","29582"
"97603","Klamath Falls","Klamath","29357"
"97502","Central Point","Jackson","28975"
"97062","Tualatin","Washington","28694"
"97420","Coos Bay","Coos","27926"
"97116","Forest Grove","Washington","27281"
"97321","Albany","Linn","26995"
"97035","Lake Oswego","Clackamas","26977"
"97214","Portland","Multnomah","26853"
"97212","Portland","Multnomah","26562"
"97005","Beaverton","Washington","26329"
"97140","Sherwood","Washington","26248"
"97838","Hermiston","Umatilla","26153"
"97225","Portland","Washington","26095"
"97520","Ashland","Jackson","25177"
"97070","Wilsonville","Clackamas","25101"
"97013","Canby","Clackamas","24138"
"97015","Clackamas","Clackamas","23633"
"97333","Corvallis","Benton","23302"
"97601","Klamath Falls","Klamath","22726"
"97060","Troutdale","Multnomah","22471"
"97338","Dallas","Polk","21880"
"97058","The Dalles","Wasco","20619"
"97801","Pendleton","Umatilla","20563"
"97754","Prineville","Crook","20270"
"97470","Roseburg","Douglas","19785"
"97914","Ontario","Malheur","19400"
"97209","Portland","Multnomah","18982"
"97215","Portland","Multnomah","18934"
"97055","Sandy","Clackamas","18923"
"97031","Hood River","Hood River","18902"
"97034","Lake Oswego","Clackamas","18656"
"97201","Portland","Multnomah","17993"
"97424","Cottage Grove","Lane","17909"
"97103","Astoria","Clatsop","17677"
"97850","La Grande","Union","17294"
"97051","Saint Helens","Columbia","16977"
"97216","Portland","Multnomah","16965"
"97381","Silverton","Marion","16158"
"97038","Molalla","Clackamas","15676"
"97218","Portland","Multnomah","15191"
"97524","Eagle Point","Jackson","14974"
"97113","Cornelius","Washington","14918"
"97439","Florence","Lane","14713"
"97386","Sweet Home","Linn","14693"
"97415","Brookings","Curry","14182"
"97141","Tillamook","Tillamook","14035"
"97232","Portland","Multnomah","13706"
"97459","North Bend","Coos","13643"
"97403","Eugene","Lane","13398"
"97408","Eugene","Lane","13360"
"97448","Junction City","Lane","13080"
"97503","White City","Jackson","12819"
"97741","Madras","Jefferson","12608"
"97739","La Pine","Deschutes","12595"
"97027","Gladstone","Clackamas","12521"
"97221","Portland","Multnomah","12467"
"97814","Baker City","Baker","12348"
"97361","Monmouth","Polk","12297"
"97862","Milton Freewater","Umatilla","11949"
"97210","Portland","Multnomah","11877"
"97056","Scappoose","Columbia","11678"
"97365","Newport","Lincoln","11348"
"97351","Independence","Polk","11150"
"97138","Seaside","Clatsop","10693"
"97024","Fairview","Multnomah","10344"
"97457","Myrtle Creek","Douglas","10288"
"97426","Creswell","Lane","10119"
"97383","Stayton","Marion","10046"
"97023","Estacada","Clackamas","9968"
"97367","Lincoln City","Lincoln","9746"
"97479","Sutherlin","Douglas","9710"
"97487","Veneta","Lane","9106"
"97370","Philomath","Benton","8695"
"97009","Boring","Clackamas","8603"
